p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
1.64868640433825e-05,1e-06,1,1,0,0,0,0,0,20.1985591810731,1,0,0,0.198559181073052,1.64868640433825e-05,1e-06
1.87267543541843e-05,1e-06,1,1,0,0,0,0,0,20.2203737438367,1,0,0,0.220373743836678,1.87267543541843e-05,1e-06
2.12709541195446e-05,1e-06,1,1,0,0,0,0,0,20.2451520131997,1,0,0,0.245152013199693,2.12709541195446e-05,1e-06
2.41608065443907e-05,1e-06,1,1,0,0,0,0,0,20.2732966356374,1,0,0,0.273296635637413,2.41608065443907e-05,1e-06
2.74432716837607e-05,1e-06,1,1,0,0,0,0,0,20.305264960808,1,0,0,0.305264960808019,2.74432716837607e-05,1e-06
3.11716895429367e-05,1e-06,1,1,0,0,0,0,0,20.3415764734771,1,0,0,0.341576473477096,3.11716895429367e-05,1e-06
3.54066468516657e-05,1e-06,1,1,0,0,0,0,0,20.3828212351366,1,0,0,0.382821235136641,3.54066468516657e-05,1e-06
4.0216961597535e-05,1e-06,1,1,0,0,0,0,0,20.4296694724947,1,0,0,0.429669472494746,4.0216961597535e-05,1e-06
4.56808013171547e-05,1e-06,1,1,0,0,0,0,0,20.4828824686487,1,0,0,0.482882468648729,4.56808013171547e-05,1e-06
5.18869533173602e-05,1e-06,1,1,0,0,0,0,0,20.5433249339231,1,0,0,0.543324933923122,5.18869533173602e-05,1e-06
5.89362674675079e-05,1e-06,1,1,0,0,0,0,0,20.6119790573984,1,0,0,0.611979057398423,5.89362674675079e-05,1e-06
6.69432950082169e-05,1e-06,1,1,0,0,0,0,0,20.6899604674677,1,0,0,0.68996046746772,6.69432950082169e-05,1e-06
7.60381500071719e-05,1e-06,1,1,0,0,0,0,0,20.77853636078,1,0,0,0.778536360779998,7.60381500071719e-05,1e-06
8.63686237106119e-05,1e-06,1,1,0,0,0,0,0,20.8791460941651,1,0,0,0.879146094165118,8.63686237106119e-05,1e-06
9.81025861486857e-05,1e-06,1,1,0,0,0,0,0,20.993424574159,1,0,0,0.993424574158974,9.81025861486857e-05,1e-06
0.000111430714020719,1e-06,1,1,0,0,0,0,0,21.1232288242082,1,0,0,1.12322882420818,0.000111430714020719,1e-06
0.000126569589188487,1e-06,1,1,0,0,0,0,0,21.270668161271,1,0,0,1.27066816127097,0.000126569589188487,1e-06
0.000143765218127954,1e-06,1,1,0,0,0,0,0,21.4381384721835,1,0,0,1.43813847218354,0.000143765218127954,1e-06
0.000163297029530521,1e-06,1,1,0,0,0,0,0,21.6283611467823,1,0,0,1.62836114678231,0.000163297029530521,1e-06
0.000185482415014726,1e-06,1,1,0,0,0,0,0,21.8444273004446,1,0,0,1.84442730044463,0.000185482415014726,1e-06
0.0002106818867349,1e-06,1,1,0,0,0,0,0,22.0898480046635,1,0,0,2.08984800466349,0.0002106818867349,1e-06
0.000239304935697832,1e-06,1,1,0,0,0,0,0,22.3686113419024,1,0,0,2.36861134190241,0.000239304935697832,1e-06
0.00027181668598498,1e-06,1,1,0,0,0,0,0,22.6852472118707,1,0,0,2.68524721187072,0.00027181668598498,1e-06
0.000308745453011258,1e-06,1,1,0,0,0,0,0,23.0449009423205,1,0,0,3.04490094232046,0.000308745453011258,1e-06
0.00035069132864196,1e-06,1,1,0,0,0,0,0,23.4534169005388,1,0,0,3.45341690053881,0.00035069132864196,1e-06
0.000398335932675836,1e-06,1,1,0,0,0,0,0,23.9174334642218,1,0,0,3.91743346422182,0.000398335932675836,1e-06
0.000452453489155772,1e-06,1,1,0,0,0,0,0,24.4444908950043,1,0,0,4.44449089500425,0.000452453489155772,1e-06
0.000513923407496927,1e-06,1,1,0,0,0,0,0,25.0431538675889,1,0,0,5.04315386758888,0.000513923407496927,1e-06
0.000583744572875471,1e-06,1,1,0,0,0,0,0,25.7231506455715,1,0,0,5.72315064557153,0.000583744572875471,1e-06
0.000663051578096496,1e-06,1,1,0,1,0,0,0,26.2645025323674,0.999350208454129,6,0,0.167142408210455,1.32610315619299e-05,1e-06
0.0007531331607087,1e-06,1,1,0,1,0,0,0,26.2952631279026,0.999261928503259,6,0,0.18468871686909,1.5062663214174e-05,1e-06
0.000855453144968654,1e-06,1,1,0,1,0,0,0,26.3301990719924,0.999161654918786,6,0,0.204618851017605,1.71090628993731e-05,1e-06
0.000971674228961231,1e-06,1,1,0,1,0,0,0,26.3698765332318,0.99904775825659,6,0,0.227256675012703,1.94334845792246e-05,1e-06
0.00110368500341652,1e-06,1,1,0,1,0,0,0,26.4149382829423,0.998918387697756,6,0,0.252970053127179,2.20737000683304e-05,1e-06
0.00125363064127857,1e-06,1,1,0,1,0,0,0,26.4661140105298,0.998771440972801,6,0,0.282176827338392,2.50726128255714e-05,1e-06
0.00142394775673092,1e-06,1,1,0,1,0,0,0,26.5242320136351,0.998604530199828,6,0,0.31535160725362,2.84789551346185e-05,1e-06
