group,year,z,a1,a2,a3,a4,m1
RI-L-2018,2018,250,0,0,0,0,0
SC-L-2018,2018,250,0,0,0,0,0
SD-L-2018,2018,250,0,0,0,0,0
TN-L-2018,2018,250,0,0,0,0,0
TX-L-2018,2018,250,0,0,0,0,0
UT-L-2018,2018,250,0,0,0,0,0
VT-L-2018,2018,250,0,0,0,0,0
VA-L-2018,2018,250,0,0,0,0,0
WA-L-2018,2018,250,0,0,0,0,0
WV-L-2018,2018,250,0,0,0,0,0
WI-L-2018,2018,250,0,0,0,0,0
WY-L-2018,2018,250,0,0,0,0,0
PR-L-2018,2018,250,0,0,0,0,0
AL-H-2017,2017,250,0,0,0,5,0
AK-H-2017,2017,250,0,0,0,0,0
AZ-H-2017,2017,250,0,0,1,38,0
AR-H-2017,2017,250,0,0,0,0,0
CA-H-2017,2017,250,0,0,0,21,0
CO-H-2017,2017,250,0,0,0,5,0
CT-H-2017,2017,250,0,0,0,0,0
DE-H-2017,2017,250,0,0,0,0,0
DC-H-2017,2017,250,0,0,0,0,0
FL-H-2017,2017,250,0,0,0,0,0
GA-H-2017,2017,250,0,0,0,0,0
HI-H-2017,2017,250,0,0,0,0,0
ID-H-2017,2017,250,0,0,0,28,0
IL-H-2017,2017,250,0,0,0,0,0
IN-H-2017,2017,250,0,0,0,0,0
IA-H-2017,2017,250,0,0,0,0,0
KS-H-2017,2017,250,0,0,0,0,0
KY-H-2017,2017,250,0,0,0,0,0
LA-H-2017,2017,250,0,0,0,3,0
ME-H-2017,2017,250,0,0,0,0,0
MD-H-2017,2017,250,0,0,0,0,0
MA-H-2017,2017,250,0,0,0,0,0
MI-H-2017,2017,250,0,0,0,0,0
MN-H-2017,2017,250,0,0,0,0,0
MS-H-2017,2017,250,0,0,5,122,0
MO-H-2017,2017,250,0,0,0,0,0
MT-H-2017,2017,250,0,0,0,1,0
NE-H-2017,2017,250,0,0,14,235,0
NV-H-2017,2017,250,0,0,6,144,0
NH-H-2017,2017,250,0,0,0,0,0
NJ-H-2017,2017,250,0,0,0,0,0
NM-H-2017,2017,250,0,0,1,40,0
NY-H-2017,2017,250,0,0,0,0,0
NC-H-2017,2017,250,0,0,0,0,0
ND-H-2017,2017,250,0,0,27,223,0
OH-H-2017,2017,250,0,0,0,0,0
OK-H-2017,2017,250,0,0,0,1,0
OR-H-2017,2017,250,0,0,0,0,0
PA-H-2017,2017,250,0,0,0,0,0
RI-H-2017,2017,250,0,0,0,0,0
SC-H-2017,2017,250,0,0,0,0,0
SD-H-2017,2017,250,0,0,27,223,0
TN-H-2017,2017,250,0,0,0,0,0
TX-H-2017,2017,250,0,0,0,0,0
UT-H-2017,2017,250,0,0,4,106,0
VT-H-2017,2017,250,0,0,0,0,0
VA-H-2017,2017,250,0,0,0,0,0
WA-H-2017,2017,250,0,0,0,0,0
WV-H-2017,2017,250,0,0,0,0,0
WI-H-2017,2017,250,0,0,0,0,0
WY-H-2017,2017,250,0,0,0,5,0
PR-H-2017,2017,250,2,57,0,0,0
AL-L-2017,2017,250,0,0,0,0,0
AK-L-2017,2017,250,0,0,0,0,0
AZ-L-2017,2017,250,0,0,0,0,0
AR-L-2017,2017,250,0,0,0,0,0
CA-L-2017,2017,250,0,0,0,0,0
CO-L-2017,2017,250,0,0,0,0,0
CT-L-2017,2017,250,0,0,0,0,0
DE-L-2017,2017,250,0,0,0,0,0
DC-L-2017,2017,250,0,0,0,0,0
FL-L-2017,2017,250,0,0,0,0,0
GA-L-2017,2017,250,0,0,0,0,0
HI-L-2017,2017,250,0,0,0,0,0
ID-L-2017,2017,250,0,0,0,0,0
IL-L-2017,2017,250,0,0,0,0,0
IN-L-2017,2017,250,0,0,0,0,0
IA-L-2017,2017,250,0,0,0,0,0
KS-L-2017,2017,250,0,0,0,0,0
KY-L-2017,2017,250,0,0,0,0,0
LA-L-2017,2017,250,0,0,0,0,0
ME-L-2017,2017,250,0,0,0,0,0
MD-L-2017,2017,250,0,0,0,0,0
MA-L-2017,2017,250,0,0,0,0,0
MI-L-2017,2017,250,0,0,0,0,0
MN-L-2017,2017,250,0,0,0,0,0
MS-L-2017,2017,250,0,0,0,0,0
MO-L-2017,2017,250,0,0,0,0,0
MT-L-2017,2017,250,0,0,0,0,0
NE-L-2017,2017,250,0,0,0,0,0
NV-L-2017,2017,250,0,0,0,0,0
NH-L-2017,2017,250,0,0,0,0,0
NJ-L-2017,2017,250,0,0,0,0,0
NM-L-2017,2017,250,0,0,0,0,0
NY-L-2017,2017,250,0,0,0,0,0
NC-L-2017,2017,250,0,0,0,0,0
ND-L-2017,2017,250,0,0,0,0,0
OH-L-2017,2017,250,0,0,0,0,0
OK-L-2017,2017,250,0,0,0,0,0
OR-L-2017,2017,250,0,0,0,0,0
PA-L-2017,2017,250,0,0,0,0,0
RI-L-2017,2017,250,0,0,0,0,0
SC-L-2017,2017,250,0,0,0,0,0
SD-L-2017,2017,250,0,0,0,0,0
TN-L-2017,2017,250,0,0,0,0,0
TX-L-2017,2017,250,0,0,0,0,0
UT-L-2017,2017,250,0,0,0,0,0
VT-L-2017,2017,250,0,0,0,0,0
VA-L-2017,2017,250,0,0,0,0,0
WA-L-2017,2017,250,0,0,0,0,0
WV-L-2017,2017,250,0,0,0,0,0
WI-L-2017,2017,250,0,0,0,0,0
WY-L-2017,2017,250,0,0,0,0,0
PR-L-2017,2017,250,0,0,0,0,0
AL-H-2019,2019,250,0,0,0,0,0
AK-H-2019,2019,250,0,0,0,0,0
AZ-H-2019,2019,250,0,0,2,125,0
AR-H-2019,2019,250,0,0,0,0,0
CA-H-2019,2019,250,0,0,0,0,0
CO-H-2019,2019,250,0,0,1,72,0
CT-H-2019,2019,250,0,0,0,0,0
DE-H-2019,2019,250,0,0,0,0,0
DC-H-2019,2019,250,0,0,0,0,0
FL-H-2019,2019,250,0,0,0,0,0
GA-H-2019,2019,250,0,0,0,0,0
HI-H-2019,2019,250,0,0,0,0,0
ID-H-2019,2019,250,0,0,0,0,0
IL-H-2019,2019,250,0,0,0,0,0
IN-H-2019,2019,250,0,0,0,0,0
IA-H-2019,2019,250,0,0,0,0,0
KS-H-2019,2019,250,0,0,0,0,0
KY-H-2019,2019,250,0,0,0,0,0
LA-H-2019,2019,250,0,0,0,0,0
ME-H-2019,2019,250,0,0,0,0,0
MD-H-2019,2019,250,0,0,0,0,0
MA-H-2019,2019,250,0,0,0,0,0
MI-H-2019,2019,250,0,0,0,0,0
MN-H-2019,2019,250,0,0,0,0,0
MS-H-2019,2019,250,0,0,0,0,0
MO-H-2019,2019,250,0,0,0,0,0
MT-H-2019,2019,250,0,0,0,0,0
NE-H-2019,2019,250,0,0,0,10,0
NV-H-2019,2019,250,0,0,0,10,0
NH-H-2019,2019,250,0,0,0,0,0
NJ-H-2019,2019,250,0,0,0,0,0
NM-H-2019,2019,250,0,0,1,51,0
NY-H-2019,2019,250,0,0,0,0,0
NC-H-2019,2019,250,0,0,0,0,0
ND-H-2019,2019,250,0,0,0,1,0
OH-H-2019,2019,250,0,0,0,0,0
OK-H-2019,2019,250,0,0,0,0,0
OR-H-2019,2019,250,0,0,0,0,0
PA-H-2019,2019,250,0,0,0,0,0
RI-H-2019,2019,250,0,0,0,0,0
SC-H-2019,2019,250,0,0,0,0,0
SD-H-2019,2019,250,0,0,0,2,0
TN-H-2019,2019,250,0,0,0,0,0
TX-H-2019,2019,250,0,0,0,0,0
UT-H-2019,2019,250,0,0,0,0,0
VT-H-2019,2019,250,0,0,0,0,0
VA-H-2019,2019,250,0,0,0,0,0
WA-H-2019,2019,250,0,0,0,0,0
WV-H-2019,2019,250,0,0,0,0,0
WI-H-2019,2019,250,0,0,0,0,0
WY-H-2019,2019,250,0,0,0,0,0
PR-H-2019,2019,250,0,0,0,0,0
AL-L-2019,2019,250,0,0,0,0,0
AK-L-2019,2019,250,0,0,0,0,0
AZ-L-2019,2019,250,0,0,0,0,0
AR-L-2019,2019,250,0,0,0,0,0
CA-L-2019,2019,250,0,0,0,0,0
CO-L-2019,2019,250,0,0,0,0,0
CT-L-2019,2019,250,0,0,0,0,0
DE-L-2019,2019,250,0,0,0,0,0
DC-L-2019,2019,250,0,0,0,0,0
FL-L-2019,2019,250,0,0,0,0,0
GA-L-2019,2019,250,0,0,0,0,0
HI-L-2019,2019,250,0,0,0,0,0
ID-L-2019,2019,250,0,0,0,0,0
