group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
CT-068-2017-L,2017,0,0,7312.53459522614,1,0,0,0,0,0,146250.691904523,7312.53459522614,0,0,0,0,0,L
CT-069-2017-H,2017,0,0,1926.02213651397,1,0,0,0,0,0,38520.4427302794,1926.02213651397,0,0,0,0,0,H
CT-069-2017-L,2017,0,0,1926.02213651397,1,0,0,0,0,0,38520.4427302794,1926.02213651397,0,0,0,0,0,L
NJ-070-2017-H,2017,0,0,26758.6624235329,1,0,0,0,0,0,535173.248470658,26758.6624235329,0,0,0,0,0,H
NJ-070-2017-L,2017,0,0,26758.6624235329,1,0,0,0,0,0,535173.248470658,26758.6624235329,0,0,0,0,0,L
NJ-071-2017-H,2017,0,0,6285.48815067826,1,0,0,0,0,0,125709.763013565,6285.48815067826,0,0,0,0,0,H
NJ-071-2017-L,2017,0,0,6285.48815067826,1,0,0,0,0,0,125709.763013565,6285.48815067826,0,0,0,0,0,L
NJ-072-2017-H,2017,0,0,2873.05400686004,1,0,0,0,0,0,57461.0801372008,2873.05400686004,0,0,0,0,0,H
NJ-072-2017-L,2017,0,0,2873.05400686004,1,0,0,0,0,0,57461.0801372008,2873.05400686004,0,0,0,0,0,L
NJ-073-2017-H,2017,0,0,3934.59951378482,1,0,0,0,0,0,78691.9902756964,3934.59951378482,0,0,0,0,0,H
NJ-073-2017-L,2017,0,0,3934.59951378482,1,0,0,0,0,0,78691.9902756964,3934.59951378482,0,0,0,0,0,L
NJ-074-2017-H,2017,0,0,7328.96053657863,1,0,0,0,0,0,146579.210731573,7328.96053657863,0,0,0,0,0,H
NJ-074-2017-L,2017,0,0,7328.96053657863,1,0,0,0,0,0,146579.210731573,7328.96053657863,0,0,0,0,0,L
NJ-075-2017-H,2017,0,0,3153.56092569719,1,0,0,0,0,0,63071.2185139438,3153.56092569719,0,0,0,0,0,H
NJ-075-2017-L,2017,0,0,3153.56092569719,1,0,0,0,0,0,63071.2185139438,3153.56092569719,0,0,0,0,0,L
NJ-076-2017-H,2017,0,0,7820.638442935,1,0,0,0,0,0,156412.7688587,7820.638442935,0,0,0,0,0,H
NJ-076-2017-L,2017,0,0,7820.638442935,1,0,0,0,0,0,156412.7688587,7820.638442935,0,0,0,0,0,L
NJ-077-2017-H,2017,0,0,9556.26208819079,1,0,0,0,0,0,191125.241763816,9556.26208819079,0,0,0,0,0,H
