group,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,resid_risk1,resid_risk2,downsteam_NMC
2017-MD-Low,1.72844e-06,6.8889e-08,94986.7236,1,0,0,0,0,0,1901582.02939238,94986.7236,0,0,1.72844e-06,6.8889e-08,1847.55739237855
2017-MA-Low,1.6558e-06,6.04943e-08,108167.8552,1,0,0,0,0,0,2165350.02240154,108167.8552,0,0,1.6558e-06,6.04943e-08,1992.91840153942
2017-MI-Low,6.64362e-07,2.77398e-07,157259.9902,1,0,0,0,0,0,3147874.6550936,157259.9902,0,0,6.64362e-07,2.77398e-07,2674.85109360382
2017-MN-Low,1.3604e-06,3.72764e-07,87770.5073,1,0,0,0,0,0,1757816.02410342,87770.5073,0,0,1.3604e-06,3.72764e-07,2405.87810342449
2017-MS-Low,6.33451e-07,1.45801e-06,47124.0029,1,0,0,0,0,0,945381.078428164,47124.0029,0,0,6.33451e-07,1.45801e-06,2901.020428164
2017-MO-Low,3.10001e-07,2.15191e-07,96292.3782,1,0,0,0,0,0,1926925.51787833,96292.3782,0,0,3.10001e-07,2.15191e-07,1077.95387833045
2017-MT-Low,0,7.22857e-07,16595.9508,1,0,0,0,0,0,332374.782439219,16595.9508,0,0,0,7.22857e-07,455.766439219195
2017-NE-Low,9.88062e-07,2.45471e-06,30211.407,1,0,0,0,0,0,607336.327763307,30211.407,0,0,9.88062e-07,2.45471e-06,3108.18776330742
2017-NV-Low,3.1871e-07,1.56029e-06,46830.632,1,0,0,0,0,0,939534.023801785,46830.632,0,0,3.1871e-07,1.56029e-06,2921.38380178459
2017-NH-Low,0,5.1278e-08,21268.2047,1,0,0,0,0,0,425405.52731887,21268.2047,0,0,0,5.1278e-08,41.4333188704657
2017-NJ-Low,1.27831e-06,6.22703e-08,140110.4585,1,0,0,0,0,0,2804284.95761045,140110.4585,0,0,1.27831e-06,6.22703e-08,2075.78761044907
2017-NM-Low,0,1.09112e-06,32984.0741,1,0,0,0,0,0,661048.784558711,32984.0741,0,0,0,1.09112e-06,1367.30255871073
2017-NY-Low,3.09238e-06,1.80061e-07,308896.0882,1,0,0,0,0,0,6189337.90600787,308896.0882,0,0,3.09238e-06,1.80061e-07,11416.1420078682
2017-NC-Low,7.37449e-07,5.38851e-08,161913.5429,1,0,0,0,0,0,3239765.20458929,161913.5429,0,0,7.37449e-07,5.38851e-08,1494.34658929466
2017-ND-Low,0,5.68005e-06,11904.2228,1,0,0,0,0,0,240653.319440229,11904.2228,0,0,0,5.68005e-06,2568.86344022893
2017-OH-Low,2.43542e-07,2.01682e-07,183853.9543,1,0,0,0,0,0,3678923.89696389,183853.9543,0,0,2.43542e-07,2.01682e-07,1844.81096389001
2017-OK-Low,2.40769e-07,7.389e-07,61990.5393,1,0,0,0,0,0,1241696.34519268,61990.5393,0,0,2.40769e-07,7.389e-07,1885.55919268291
2017-OR-Low,1.14216e-06,1.00149e-07,65338.3113,1,0,0,0,0,0,1307741.62617486,65338.3113,0,0,1.14216e-06,1.00149e-07,975.400174855141
2017-PA-Low,5.18138e-07,1.08172e-07,201640.5607,1,0,0,0,0,0,4034657.40233558,201640.5607,0,0,5.18138e-07,1.08172e-07,1846.18833558046
2017-RI-Low,2.68986e-06,1.31031e-07,16646.2677,1,0,0,0,0,0,333444.300591022,16646.2677,0,0,2.68986e-06,1.31031e-07,518.94659102216
2017-SC-Low,3.77011e-07,2.47932e-07,79177.3318,1,0,0,0,0,0,1584583.153896,79177.3318,0,0,3.77011e-07,2.47932e-07,1036.51789600005
2017-SD-Low,0,5.78427e-06,13763.7265,1,0,0,0,0,0,278299.161032858,13763.7265,0,0,0,5.78427e-06,3024.63103285773
2017-TN-Low,2.82178e-07,3.09279e-07,105786.9854,1,0,0,0,0,0,2117273.4263218,105786.9854,0,0,2.82178e-07,3.09279e-07,1533.71832179784
2017-TX-Low,1.80642e-06,3.29985e-07,446171.011,1,0,0,0,0,0,8936863.17742967,446171.011,0,0,1.80642e-06,3.29985e-07,13442.9574296685
2017-UT-Low,1.22093e-06,1.3828e-06,48898.4518,1,0,0,0,0,0,981119.347949618,48898.4518,0,0,1.22093e-06,1.3828e-06,3150.31194961835
2017-VT-Low,6.0642e-06,3.32331e-07,9844.9021,1,0,0,0,0,0,197603.781387113,9844.9021,0,0,6.0642e-06,3.32331e-07,705.739387112655
2017-VA-Low,7.82855e-07,1.06234e-07,133457.1739,1,0,0,0,0,0,2670699.6315196,133457.1739,0,0,7.82855e-07,1.06234e-07,1556.15351959966
2017-WA-Low,1.91262e-06,1.2112e-07,117054.4963,1,0,0,0,0,0,2343808.95942411,117054.4963,0,0,1.91262e-06,1.2112e-07,2719.03342411398
2017-WV-Low,5.20933e-07,3.80643e-08,28651.2348,1,0,0,0,0,0,573211.48926907,28651.2348,0,0,5.20933e-07,3.80643e-08,186.79326906998
2017-WI-Low,6.53891e-07,6.09189e-07,91301.9338,1,0,0,0,0,0,1828733.21523601,91301.9338,0,0,6.53891e-07,6.09189e-07,2694.53923600892
2017-WY-Low,3.26995e-06,8.36268e-07,9128.8121,1,0,0,0,0,0,183156.995248278,9128.8121,0,0,3.26995e-06,8.36268e-07,580.753248277702
2017-PR-Low,4.24445e-05,0,39023,1,0,0,0,0,0,796591.020101722,39023,0,0,4.24445e-05,0,16131.0201017218
