year,zip3,state_name,state_id,season,numDonor,pWNV,pZIKV,donorGroup
2017,064,Connecticut,CT,H,5650.78503710742,0,0,CT-064-2017-H
2017,064,Connecticut,CT,L,5650.78503710742,0,0,CT-064-2017-L
2017,065,Connecticut,CT,H,2278.68957995841,0,0,CT-065-2017-H
2017,065,Connecticut,CT,L,2278.68957995841,0,0,CT-065-2017-L
2017,066,Connecticut,CT,H,1880.02032601831,0,0,CT-066-2017-H
2017,066,Connecticut,CT,L,1880.02032601831,0,0,CT-066-2017-L
2017,067,Connecticut,CT,H,2621.31697691457,0,0,CT-067-2017-H
2017,067,Connecticut,CT,L,2621.31697691457,0,0,CT-067-2017-L
2017,068,Connecticut,CT,H,3656.26729761307,0,0,CT-068-2017-H
2017,068,Connecticut,CT,L,3656.26729761307,0,0,CT-068-2017-L
2017,069,Connecticut,CT,H,963.011068256987,0,0,CT-069-2017-H
2017,069,Connecticut,CT,L,963.011068256987,0,0,CT-069-2017-L
2017,070,New Jersey,NJ,H,13379.3312117665,0,0,NJ-070-2017-H
2017,070,New Jersey,NJ,L,13379.3312117665,0,0,NJ-070-2017-L
2017,071,New Jersey,NJ,H,3142.74407533913,0,0,NJ-071-2017-H
2017,071,New Jersey,NJ,L,3142.74407533913,0,0,NJ-071-2017-L
2017,072,New Jersey,NJ,H,1436.52700343002,0,0,NJ-072-2017-H
2017,072,New Jersey,NJ,L,1436.52700343002,0,0,NJ-072-2017-L
2017,073,New Jersey,NJ,H,1967.29975689241,0,0,NJ-073-2017-H
2017,073,New Jersey,NJ,L,1967.29975689241,0,0,NJ-073-2017-L
2017,074,New Jersey,NJ,H,3664.48026828932,0,0,NJ-074-2017-H
2017,074,New Jersey,NJ,L,3664.48026828932,0,0,NJ-074-2017-L
2017,075,New Jersey,NJ,H,1576.7804628486,0,0,NJ-075-2017-H
2017,075,New Jersey,NJ,L,1576.7804628486,0,0,NJ-075-2017-L
2017,076,New Jersey,NJ,H,3910.3192214675,0,0,NJ-076-2017-H
2017,076,New Jersey,NJ,L,3910.3192214675,0,0,NJ-076-2017-L
2017,077,New Jersey,NJ,H,4778.13104409539,0,0,NJ-077-2017-H
2017,077,New Jersey,NJ,L,4778.13104409539,0,0,NJ-077-2017-L
