group,year,z,a1,a2,a3,a4,m1
PA-175-2017-H,2017,2,0,0,0,2,0
PA-175-2017-L,2017,2,0,0,0,2,0
PA-176-2017-H,2017,2,0,0,0,2,0
PA-176-2017-L,2017,2,0,0,0,2,0
PA-177-2017-H,2017,2,0,0,0,0,0
PA-177-2017-L,2017,2,0,0,0,2,0
PA-178-2017-H,2017,2,0,0,0,2,0
PA-178-2017-L,2017,2,0,0,0,0,0
PA-179-2017-H,2017,2,0,0,0,0,0
PA-179-2017-L,2017,2,0,0,0,0,0
PA-180-2017-H,2017,2,0,0,0,0,0
PA-180-2017-L,2017,2,0,0,0,0,0
PA-181-2017-H,2017,2,0,0,0,0,0
PA-181-2017-L,2017,2,0,0,0,0,0
PA-182-2017-H,2017,2,0,0,0,0,0
PA-182-2017-L,2017,2,0,0,0,0,0
PA-183-2017-H,2017,2,0,0,0,0,0
PA-183-2017-L,2017,2,0,0,0,0,0
PA-184-2017-H,2017,2,0,0,0,1,0
PA-184-2017-L,2017,2,0,0,0,0,0
PA-185-2017-H,2017,2,0,0,0,0,0
PA-185-2017-L,2017,2,0,0,0,0,0
PA-186-2017-H,2017,2,0,0,0,0,0
PA-186-2017-L,2017,2,0,0,0,0,0
PA-187-2017-H,2017,2,0,0,0,0,0
PA-187-2017-L,2017,2,0,0,0,0,0
PA-188-2017-H,2017,2,0,0,0,0,0
PA-188-2017-L,2017,2,0,0,0,0,0
PA-189-2017-H,2017,2,0,0,0,0,0
PA-189-2017-L,2017,2,0,0,0,0,0
PA-190-2017-H,2017,2,0,0,0,0,0
PA-190-2017-L,2017,2,0,0,0,2,0
PA-191-2017-H,2017,2,0,0,0,2,0
PA-191-2017-L,2017,2,0,0,0,2,0
PA-193-2017-H,2017,2,0,0,0,2,0
PA-193-2017-L,2017,2,0,0,0,0,0
PA-194-2017-H,2017,2,0,0,0,1,0
PA-194-2017-L,2017,2,0,0,0,0,0
PA-195-2017-H,2017,2,0,0,0,0,0
PA-195-2017-L,2017,2,0,0,0,0,0
PA-196-2017-H,2017,2,0,0,0,2,0
PA-196-2017-L,2017,2,0,0,0,2,0
DE-197-2017-H,2017,2,0,0,0,2,0
DE-197-2017-L,2017,2,0,0,0,2,0
DE-198-2017-H,2017,2,0,0,0,1,0
DE-198-2017-L,2017,2,0,0,0,2,0
DE-199-2017-H,2017,2,0,0,0,2,0
DE-199-2017-L,2017,2,0,0,1,1,0
