"","z1","z2","z3","z4","z5","m11","m12","m13","m14","m15","m21","m22","m23","m24","m25","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","a31","a32","a33","a34","a35","obj_cost","","","","","","",""
"12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6455950.9829548,96968.4587803013,1602000,0,0.001,9.13568983916047e-05,9.48313618728595e-06,1.09787448236583e-05
"13",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6458150.395536,97225.95602976,1242000,72000,0.000975315233729711,0.000139035172858967,2.48049508069426e-05,1.22616686914006e-05
"14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6460172.32922176,96980.3031385216,1498000,0,0.001,0.000132534232802758,9.48098078658188e-06,1.09771783733264e-05
"15",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6463701.755536,96983.65202976,1410000,72000,0.000975788999931334,0.000138383178217064,6.6752801114837e-06,1.19400308442667e-05
"16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,6467998.54171914,96892.9667885391,1514000,0,0.001,0.000138375203930954,6.52118628876236e-06,1.06120952237794e-05
"17",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,6468192.86929504,96962.8648713664,1618000,0,0.001,8.55026193937181e-05,8.02671009400214e-06,1.32312031144082e-05
"18",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6469106.06230816,96984.7753179456,1446000,48000,0.000983841348285704,0.000138386208291466,9.09642493115145e-06,9.84602769350054e-06
"19",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6471044.795536,93079.01202976,1354000,0,0.001,0.000137895855607838,5.01020187372699e-06,1.33677824238591e-05
"20",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6473008.795536,97225.95602976,1242000,24000,0.000991967906185865,0.000139035172858967,3.1246529430333e-05,1.30884174659295e-05
"21",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6474140.82694698,96891.8435003535,1478000,24000,0.000992129716325235,0.000138372170857871,4.98933767797137e-06,1.28582688206846e-05
"22",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6475261.3829548,96968.4587803013,1602000,24000,0.000991946577167228,9.13568983916047e-05,8.51672544735329e-06,1.08176763670029e-05
"23",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,6476019.08179242,96875.5285213839,1634000,0,0.001,9.13022414516685e-05,5.06507174166043e-06,1.28680863218873e-05
"24",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6477126.60238144,96967.3370507904,1566000,48000,0.000983838442370227,9.13578164014988e-05,7.64215215304187e-06,1.2099745055709e-05
"25",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6477460.795536,97225.95602976,1242000,96000,0.000967283139915576,0.000139035172858967,2.38410995492464e-05,1.21010268151179e-05
"26",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6479482.72922176,96980.3031385216,1498000,24000,0.000991956783605831,0.000132534232802758,8.51579481928165e-06,1.0816314045443e-05
