group,year,z,a1,a2,a3,a4,m1
NM-H-2017,2017,0,0,0,0.0036,0.1648,0
NM-H-2018,2018,0,0,0,0,0,0
NM-H-2019,2019,0,0,0,0.006,0.2101,0
NM-L-2017,2017,0,0,0,0,0,0
NM-L-2018,2018,0,0,0,0,0,0
NM-L-2019,2019,0,0,0,0,0,0
NV-H-2017,2017,0,0,0,0.0323,0.5905,0
NV-H-2018,2018,0,0,0,0,0,0
NV-H-2019,2019,0,0,0,0.0002,0.0359,0
NV-L-2017,2017,0,0,0,0,0,0
NV-L-2018,2018,0,0,0,0,0,0
NV-L-2019,2019,0,0,0,0,0,0
NY-H-2017,2017,0,0,0,0,0,0
NY-H-2018,2018,0,0,0,0,0,0
NY-H-2019,2019,0,0,0,0,0,0
NY-L-2017,2017,0,0,0,0,0,0
NY-L-2018,2018,0,0,0,0,0,0
NY-L-2019,2019,0,0,0,0,0,0
OH-H-2017,2017,0,0,0,0,0,0
OH-H-2018,2018,0,0,0,0,0,0
OH-H-2019,2019,0,0,0,0,0,0
OH-L-2017,2017,0,0,0,0,0,0
OH-L-2018,2018,0,0,0,0,0,0
OH-L-2019,2019,0,0,0,0,0,0
OK-H-2017,2017,0,0,0,0,0.0101,0
OK-H-2018,2018,0,0,0,0,0,0
OK-H-2019,2019,0,0,0,0,0,0
OK-L-2017,2017,0,0,0,0,0,0
OK-L-2018,2018,0,0,0,0,0,0
OK-L-2019,2019,0,0,0,0,0,0
OR-H-2017,2017,0,0,0,0,0,0
OR-H-2018,2018,0,0,0,0,0,0
OR-H-2019,2019,0,0,0,0,0,0
OR-L-2017,2017,0,0,0,0,0,0
OR-L-2018,2018,0,0,0,0,0,0
OR-L-2019,2019,0,0,0,0,0,0
PA-H-2017,2017,0,0,0,0,0,0
PA-H-2018,2018,0,0,0,0,0.0172,0
PA-H-2019,2019,0,0,0,0,0,0
PA-L-2017,2017,0,0,0,0,0,0
PA-L-2018,2018,0,0,0,0,0,0
PA-L-2019,2019,0,0,0,0,0,0
PR-H-2017,2017,0,0.0094,0.1962,0,0,0
PR-H-2018,2018,0,0,0.0001,0,0,0
PR-H-2019,2019,0,0,0,0,0,0
PR-L-2017,2017,0,0,0,0,0,0
PR-L-2018,2018,0,0,0,0,0,0
