Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
4438785.17804684,410529.524004391,2295750.1501326,49456003433.358,5352836028.62708,26530025577.2623,101702.986224912,6976.83626491618,38688.3172109635,1514551.84967226,162026.386839385,795526.750277001,13407.0928451074,1333.39238576599,7301.36566356616,44436.8750020292,3976.87753559711,23252.6136923052,19918.7239625973,3030.17711700903,14008.3865911103,2e+06,0,6,11141.7880004546,13038.8576597717,11556.1467242984,0.0229123469925758,0.0169947247566086,0.0168521462184066,10517.8478724291,195.582864896575,6251.87537784541,0.0216292555609916,0.000254920871349129,0.00911701110415798,16965.3061151711,0.0310011875364987,47966.4936516698
4449957.55103505,413817.632021274,2301587.72728211,49470439952.5328,5364638267.60133,26574757572.0016,102519.307691604,7169.43663023846,38859.4174932259,1511387.59753922,161613.942658748,797322.864974442,13405.4577839354,1423.32075022598,7296.46048005017,43979.0578738692,3921.69422104209,22819.7312470183,20921.8339916193,3191.23064245102,14495.2260550734,2e+06,1,6,11117.0588449829,12963.7740214161,11546.2718439949,0.0230382664364423,0.017325111535774,0.0168837437880823,10494.5035496639,194.456610321242,6246.53306760122,0.0217481235160016,0.00025987667303661,0.00913410538935253,16935.4932275864,0.0311421055783907,48077.5988059771
4442185.28775404,412624.854896322,2298656.47136595,53599714983.3545,5591630899.12759,27755922864.6747,131602.955256219,8110.34273389846,48303.6882044951,1465396.59689333,165403.19692485,791691.714298065,21975.6309169731,1933.86860118297,9919.09859993834,79486.4550503215,5270.61968794229,32366.0358997395,54240.2930240479,5118.15023365324,27644.3880002969,2e+06,0,7,12066.0691779596,13551.3671383964,12074.8459852207,0.0296257239919763,0.0196554876364302,0.0210138786748728,11390.3693039939,203.270507075946,6532.4916780044,0.0279666834484257,0.000294832314546453,0.0113685083631062,18126.1314890742,0.0396300241260783,57756.1556151525
4442855.66283478,412838.639144548,2295203.63093598,53663279611.9358,5621618011.21168,27762947901.8604,132915.598554449,8328.9399485367,48826.3379646114,1461363.71851266,166371.561903959,785569.227739534,21433.1993731623,1837.39999203497,10043.3632490103,79647.5085757626,5531.82071016931,33079.3313360244,55018.9909072127,5109.56616250024,28339.288998397,2e+06,1,7,12078.5557047999,13616.9861010596,12096.0717940912,0.0299167041743692,0.0201748071977838,0.0212732052644497,11402.1565853311,204.254791515894,6543.97484060332,0.0282413687406045,0.000302622107966757,0.0115088040480673,18150.3862174504,0.0400527948966385,58203.1811140889
4449847.18440642,413655.760965252,2298395.67910899,30370485382.5373,3689652451.65677,16288296999.155,115526.0037553,8311.74027886749,45294.626953558,1211395.56653794,131309.718896943,642471.1265581,23040.4645052382,2123.12693184198,11316.6671367053,56253.4620920725,4737.5897458702,27049.225733689,69936.0627446654,9864.32405067645,42466.2175244767,2e+06,0,8,6825.06255247697,8919.62061170642,7086.81152997529,0.0259617912633353,0.0200933748860944,0.0197070623501682,6442.85904953826,133.794309175596,3833.96503771663,0.0245079309525885,0.000301400623291417,0.010661520731441,10410.6183964305,0.0354708523073209,45881.4707037514
4442915.34256739,412683.717098504,2292190.21319592,30101629980.7177,3702412030.88759,16500334218.2134,116240.281465069,8478.35026676392,45626.738955656,1209109.75101957,130602.963705346,635504.539669505,23259.1539369931,2081.84163724897,11336.6966360623,56179.8843393319,4600.6533727152,27087.6496712308,69336.8128251269,10088.3274312405,43150.4906249587,2e+06,1,8,6775.19773836679,8971.54861577409,7198.5012950594,0.0261630646776849,0.0205444264347852,0.0199053022270958,6395.78666501825,134.573229236611,3894.38920062714,0.0246979330557345,0.000308166396521778,0.0107687685048588,10424.749094882,0.0357748679571151,46199.6170519971
4446326.08017245,412155.183574653,2298282.8598881,66670751833.6283,6751267466.59134,34818797044.1284,131721.275955362,7734.72458297955,47389.0521355174,1490564.2759833,161065.37963554,797976.071912645,20591.9604001684,1475.23394243698,8969.12805900628,78445.7386143433,4773.15232636121,31259.0994862955,33285.3490436967,3651.90912766206,20128.8293231992,2e+06,0,9,14994.5709404746,16380.4016924817,15149.9180765869,0.0296247449197997,0.0187665347694907,0.0206193297450884,14154.874967808,245.706025387225,8196.1056794335,0.0279657592042909,0.00028149802154236,0.0111550573920928,22596.6866726288,0.0394023146179261,61999.0012905549
4445529.3966163,414322.865923421,2298615.18607137,66794398904.6216,6851116432.91221,34539035954.1563,132869.284592082,8278.95651011632,47568.3620272124,1488779.19794879,162597.840718997,791228.583221101,20678.6186422843,1673.07634424898,9728.61397340026,78767.8456652277,4989.79793165128,31610.6376382755,34232.8669928709,3767.18094028808,20049.1200910643,2e+06,1,9,15025.0719195473,16535.6947356569,15026.0192151554,0.0298882928753582,0.0199818962240103,0.0206943564609929,14183.6678920527,248.035421034854,8129.07639539906,0.0282145484743382,0.000299728443360154,0.0111956468453971,22560.7797084866,0.0397099237630955,62270.7034715821
4445624.63892962,413552.752111413,2298100.14180222,47271684280.7004,5328424930.51364,25013102737.8425,103363.971190509,6638.67711128852,37028.3929416729,1435307.38367574,153038.864342206,759001.527521063,15352.4068744947,1277.39154062499,6974.35342916617,14483.3718615767,1067.28618002299,5659.76424687809,33934.0595636878,5362.59187886723,21168.3194632981,2e+06,0,10,10633.3053552812,12884.5108714889,10884.2527280933,0.0232507194344227,0.0160527939359476,0.0161126107031326,10037.8402553855,193.267663072333,5888.38072589849,0.021948679146095,0.000240791909039214,0.00871692239039472,16119.4886443563,0.030906393445529,47025.8820898853
4445363.43790719,412949.823304235,2300073.66063679,47164948334.0192,5372593293.19049,25081856788.8166,104914.412165594,7027.58022482412,38079.6300940536,1433588.93438388,151280.764817015,758524.498424103,15611.5640702568,1353.42188512298,7235.9632166862,14002.2551117157,984.715590836992,5511.38244551911,33815.1088634249,5658.94671629225,21558.6903181131,2e+06,1,10,10609.9195246506,13010.281128592,10904.8058842918,0.0236008627035871,0.0170180003192461,0.0165558306874011,10015.7640312701,195.15421692888,5899.49998340185,0.0222792143921862,0.000255270004788692,0.008956704401884,16110.4182316008,0.0314911887988589,47601.6070304598
