Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,
4450899.3462703,413429.713758224,2297209.03346349,58515385228.6075,5888387381.79586,30886789724.0534,161409.970337605,10477.5134345574,61179.4095395265,1587632.54381583,174144.23395035,842479.166892066,28860.8735122646,2582.170355881,13279.1493083984,82854.2722993505,6316.65007272941,37948.9522715335,111767.059003837,11827.2149876625,62498.1694732347,2e+06,1,6,13146.8677847414,14242.7773956262,13445.3544601841,0.0362645743658215,0.0253429134043439,0.0266320603168127,12410.6431887959,213.641660934393,7273.93676295958,0.0342337582013354,0.000380143701065159,0.0144079446313957,19898.2216126898,0.0490218465337963,68920.0681464861
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,
4439350.50044737,412187.884798084,2297433.03684401,44136196464.3221,4715853424.2141,22715798699.712,134776.439341047,8447.6867265999,48365.2021980586,1282697.72289166,140248.189558959,686652.114486627,21325.6941011033,1785.07803453097,10286.1698330523,77842.4010418742,5134.50084537327,32324.3418398537,67492.463823109,7265.80308307548,35268.6782453323,2e+06,1,7,9942.03914736499,11441.0287107886,9887.46933443457,0.0303594950043851,0.0204947477549907,0.0210518441331801,9385.28495511255,171.615430661829,5349.12090992911,0.0286593632841396,0.00030742121632486,0.0113890476760504,14906.0212957035,0.0403558321765149,55261.8534722183
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,
4445708.02704906,411544.896992206,2301976.46307575,36133776272.6427,3684171968.37946,18076113979.0331,95550.5600312766,5501.42310398643,33463.160577819,1263109.69005114,132341.033731181,672605.303958006,21680.5023754273,1715.17916942797,10363.0177081363,62332.2107642735,3822.36425484311,24887.674864305,4804.62725392206,1137.18504512599,2972.13244540301,2e+06,1,8,8127.78888149956,8952.05357982908,7852.43214645254,0.0214927654830046,0.0133677349523559,0.0145367083958399,7672.63270413558,134.280803697436,4248.16579123082,0.0202891706159563,0.000200516024285339,0.00786435924214936,12055.0792990638,0.028354045882391,40409.1251814549
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,
4446181.7860241,412280.674519608,2303921.77710519,20424493525.8398,1908616079.04452,9668776163.61587,87650.4738656082,5211.27903771628,30169.7699551408,1249148.72023404,136274.990911009,670431.490129841,20736.2545485974,1742.56644405897,9832.03159252925,43567.4312238165,2595.25084525701,15476.6715235666,24595.8164451032,3567.70347730407,15581.7242038674,2e+06,1,9,4593.7153514598,4629.40951881495,4196.65991254461,0.0197136505171975,0.0126401244583887,0.0130949627955895,4336.46729177805,69.4411427822242,2270.39301268663,0.0186096860882345,0.00018960186687583,0.0070843748724139,6676.30144724691,0.0258836628275242,32559.9642747711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,
4447479.61582915,412948.188243074,2301151.57471453,29385616160.4458,3045379640.69464,14975552195.5062,130207.123983362,8948.32260546754,49629.982231362,1472913.38186632,166411.212137383,790891.351854381,20724.8091203934,1863.56097078697,10018.0198008443,78916.2274665853,5777.07988596937,34709.4873245083,71202.0088570858,8566.49424540158,39438.0842339331,2e+06,1,10,6607.25145447741,7374.72575833663,6507.85126893,0.0292766095025907,0.0216693591598961,0.0215674546504043,6237.24537302668,110.620886375049,3520.74753649113,0.0276371193704456,0.000325040387398441,0.0116679929658687,9868.61379589286,0.0396301527237128,49498.7665196057
