Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip
4446303.598,413173.8267,2301005.237,14253307422,1493311853,7674692395,97218.32328,6121.625361,36416.9963,1199514.803,120276.7349,627736.7728,22217.21121,1755.646933,10162.31395,54306.10424,3967.884699,25380.23704,36140.16585,4510.725008,21797.00048,2000000
4447132.983,411082.9922,2297995.907,13937323786,1326366882,7171807329,106148.4969,6405.657014,38779.45757,1082024.621,117973.3424,580382.1311,16675.58013,1268.398704,7503.704484,62736.47964,4384.416533,27541.37915,63227.81552,5595.996861,31811.3414,2000000
4446241.466,412745.4407,2295834.356,13522785732,1429674975,7143377690,89414.86861,5199.562051,30810.10525,1318018.314,138735.3492,693619.1101,17847.10146,1458.0658,8114.399831,48805.75845,3405.832421,21054.27395,9414.682228,1254.90945,6496.098036,2000000
4447506.594,412640.7967,2298667.917,9547473235,1034836636,5114454728,107836.6529,6899.515123,40176.45915,1161868.337,126958.8211,620184.4253,20593.59546,1785.4868,9920.324896,66766.49666,5121.829121,30297.68352,77610.63112,8409.119608,42740.09027,2000000
4449249.978,412804.7116,2302516.442,15726141183,1713209408,8502880979,125350.4205,7449.676481,43929.33989,1298590.926,137536.0318,692904.9972,22394.20658,1744.201505,10387.54363,64838.75954,3929.869527,25634.48905,48618.54395,5605.807228,26656.40229,2000000
4442986.059,412182.1621,2298187.618,9549201132,1017984046,5011871300,77339.5225,4141.841595,26220.58918,1229149.47,136513.7098,660955.9019,14747.84301,1175.608983,6840.687178,61513.86265,3987.914199,24829.22143,480.2992193,92.38095622,402.2250483,2000000
4450235.92,411933.6328,2306635.57,16037125527,1600124686,8368383605,168554.9373,10175.8611,61321.80717,1368742.408,146239.8712,735611.1599,23887.01743,1995.59216,11514.50954,79336.43819,5205.217241,33835.13836,103165.4109,9409.36828,50905.177,2000000
4445457.454,411334.3829,2296644.12,15400523850,1667977082,8113705702,129412.7497,8348.963393,46344.07872,1443409.521,162386.9178,775900.7023,21704.21076,1853.750604,9880.674662,85112.29178,5906.658484,36285.27753,41651.95706,6160.501731,25482.42837,2000000
4438259.097,411697.7752,2294182.535,23125085612,2320320044,11499983007,119117.3915,6127.362691,38152.32651,1415561.567,154995.215,763867.4696,19161.28187,1317.041774,8236.620654,61852.32031,3767.18094,23990.84381,38768.52668,2303.392426,11812.9082,2000000
4448185.145,412562.7226,2293548.131,12719282136,1330544709,6690809897,104574.8926,5627.430181,34449.97674,1547128.808,162603.1547,818998.0534,18870.64975,1312.136591,8379.688507,79212.17354,5311.904983,34143.34739,11838.25165,1711.909047,6183.392587,2000000
4446923.695,413338.1503,2298873.935,9259067351,938170568.3,4885063471,84252.74797,4487.866829,27949.67425,1364033.841,137452.235,717424.3745,20943.49855,1619.528091,9783.388523,31461.02954,1487.905667,10108.7657,16994.41706,2487.336808,11298.2727,2000000
4455352.435,413606.3004,2302448.178,20032258004,2063642547,10591185196,111465.9378,5842.345574,37495.35698,1068098.397,114040.6116,573726.2059,18637.65353,1438.445066,8426.696515,66226.92648,4222.136711,27572.85407,93204.20952,6966.586889,42449.86691,2000000
4441363.261,414666.2288,2295629.156,29714091663,2996610251,15272949339,153323.5295,9741.504041,56262.73305,1415708.723,163877.2761,766778.696,25757.11864,2383.510423,12596.51127,94015.60862,7294.416654,41799.11257,67761.84015,6051.770163,33410.02246,2000000
4440156.586,413756.726,2295636.105,19776011658,2223899273,10651905653,135867.2113,9051.453721,52171.03856,1399200.737,160830.7484,747032.471,24007.19442,2357.75821,11611.38691,69328.22875,5679.793746,32969.37347,67888.96616,8604.100652,42449.86691,2000000
4449754.395,412173.578,2303846.156,9548098935,1012569052,5123799247,100289.0473,5990.126428,35759.54746,1294249.839,133510.1025,682746.3621,16758.15072,1173.565156,7450.973761,53358.58629,3810.101296,23833.06041,20720.3127,3482.680296,13453.28332,2000000
4447571.588,412542.6931,2303760.315,13877372774,1389440756,7200271018,135602.5075,7590.535072,47152.63464,1386037.268,147359.4794,741308.9393,22377.85597,1780.581616,10506.08556,77818.28389,4798.087009,32460.05192,63872.02962,5931.593167,31912.30642,2000000
4443365.393,409464.2817,2294632.177,13288203854,1408262832,7021356180,97515.89431,5699.327589,34341.65572,1314485.356,141025.6611,701077.0329,20431.72441,1686.565599,9533.224163,57764.66738,3962.161985,24017.82232,31767.60351,3631.879628,19121.63164,2000000
4444719.633,413993.4011,2300231.035,6716416533,652953042.2,3366831983,122892.9181,6407.369991,40305.00683,1386070.378,148327.4356,747464.9447,21856.27145,1633.834876,9734.336688,45713.04025,2325.465752,15786.51562,49680.51618,3931.913353,21396.4105,2000000
4444320.269,412855.3985,2294008.401,28422261254,2940219244,14847896448,110529.8495,6550.605615,38909.39566,1095139.447,116890.5232,584191.4149,18008.15498,1572.928847,8882.469817,66443.16332,4641.121137,28454.96958,50538.51453,4670.552238,24678.38703,2000000
4440556.358,411150.4385,2299062.375,15725540541,1690038738,8405327828,120404.3806,6907.614483,41887.75879,1368721.153,150751.005,736506.3559,20754.64899,1700.872384,9959.157599,77805.61217,5251.816484,32204.16484,55348.04697,4276.911261,25541.29057,2000000
4442262.544,410962.8152,2299922.826,18989823817,1790088797,9653656082,122533.1069,6836.176471,43418.70197,1318789.246,133727.1568,699217.5596,22606.76453,1759.734586,10516.30469,75242.65378,4889.24167,31218.63172,40795.59377,4613.733862,22959.52898,2000000
4442040.994,412687.8048,2303321.71,35546023323,3817097088,19061697077,121594.7771,6724.929608,42129.12765,1280002.325,138880.4609,689584.1879,25062.62641,2171.770002,12112.94193,89777.93883,6095.916815,39086.54608,62453.20529,5839.212211,30423.99199,2000000
4442544.184,413495.9337,2290054.823,33228438777,3287543986,17130593628,88232.53089,4893.30843,29307.33428,1274574.739,131624.0594,680425.3928,17487.79677,1421.276924,8118.078719,51958.97392,2651.25169,18374.40869,27802.1714,2792.684482,11269.25036,2000000
4447818.482,411683.4684,2294278.595,24051844311,2544158150,12742361152,99961.1577,6274.984398,36170.22871,1544942.732,162656.7029,813628.1037,20654.50149,1609.308959,9357.863853,33035.18468,2001.72364,12941.91794,17724.47187,2745.676473,13098.06628,2000000
4448578.786,414125.0235,2298918.081,13006586470,1317770545,6659235690,121667.1758,6540.280642,40848.62768,1439137.106,156581.6331,773308.3128,20414.96503,1546.359103,8944.602141,58522.51823,3771.677359,22691.37895,55836.11273,4611.690036,24641.59816,2000000
